Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,ClassName,Professor,
TBA, , TBA, 999, 0, 0, MUSIC(L27), RESEARCH IN MUSIC: DOCTORAL, Snarrenberg, 
TBA, , TBA, 999, 0, 0, MUSIC(L27), RESEARCH IN MUSIC: DOCTORAL, Stark, 
TBA, , TBA, 999, 1, 0, MUSIC(L27), RESEARCH IN MUSIC: DOCTORAL, Stefaniak, 
TBA, , TBA, 999, 1, 0, MUSIC(L27), RESEARCH IN MUSIC: DOCTORAL, Steinbeck, 
M------, 4:00P-4:50P, Somers Family / 215, 15, 14, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), First-Year Opportunity: Contemporary Issues in Psychology, Ray, 
-T-----, 10:00A-10:50A, Somers Family / 215, 15, 13, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), First-Year Opportunity: Contemporary Issues in Psychology, Dodd, 
---R---, 10:00A-10:50A, Somers Family / 215, 15, 12, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), First-Year Opportunity: Contemporary Issues in Psychology, Muehlhauser, 
M-W----, 2:30P-3:50P, Hillman / 60, 100, 67, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Introductory Psychological Statistics, Cohen-Shikora, 
-T-R---, 10:00A-11:20A, Rebstock / 215, 100, 96, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Introductory Psychological Statistics, Nestojko, 
-T-R---, 1:30P-3:20P, Somers Family / 220, 0, 13, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Experimental Psychology, Cohen-Shikora, 
M-W-F--, 3:00P-3:50P, Brown / 118, 175, 86, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Introduction to Social Psychology, Lambert, 
M-W----, 10:00A-11:20A, Simon / 023, 84, 57, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Developmental Psychology, Hale, 
M-W----, 1:00P-2:20P, McDonnell / 162, 110, 103, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Psychology of Adolescence, Hale, 
-T-R---, 1:00P-2:20P, Seigle / 301, 70, 59, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Sensation and Perception, Abrams, 
M-W----, 10:00A-11:20A, Seigle / L006, 110, 107, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Biological Psychology, Cooper, 
--W-F--, 10:00A-11:20A, McDonnell / 162, 60, 50, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Psychology of Personality, English, 
-T-R---, 10:00A-11:20A, Brown / 100, 200, 124, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Psychopathology and Mental Health, Karcher, 
-T-R---, 10:00A-11:20A, Somers Family / 220, 24, 14, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Language Acquisition, Treiman, 
-T-R---, 10:00A-11:20A, McDonnell / 162, 150, 90, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Cognitive Psychology, Kool, 
-T-R---, 4:00P-5:20P, Simon / 1, 230, 186, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Cognitive Neuroscience, Reagh, 
-T-R---, 1:00P-2:20P, Simon / 022, 20, 15, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Understanding Emotions, Thompson, 
M-W----, 10:00A-11:20A, Umrath / 140, 30, 27, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Human Learning and Memory, McDermott, 
M-W----, 1:00P-2:20P, Umrath / 140, 40, 33, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Community Psychology, Leath, 
-T-R---, 1:00P-2:20P, Louderman / 458, 200, 46, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Psychological Dynamics of Empathy, Lambert, 
M-W----, 1:00P-2:20P, Mallinckrodt / 303, 30, 29, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Applied Statistical Analysis with R, Cooper, 
-T-----, 3:00P-5:50P, Somers Family / 249, 0, 11, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Perception Thought and Action, Abrams, 
M-W----, 1:00P-2:20P, Somers Family / 216A, 0, 16, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Advanced Cognitive Neuroscience, Braver, 
---R---, 4:00P-5:50P, Eads / 204, 0, 30, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Study for Honors (Writing Intensive), Sommers, 
--W----, 2:00P-4:00P, Somers Family / 215A, 12, 2, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), First-Year Seminar for Graduate Students, McDermott, 
-T-R---, 11:00A-12:20P, Somers Family / 215, 0, 20, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Research Designs and Methods, Dobbins, 
M-W----, 9:00A-10:20A, Somers Family / 215A, 0, 6, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Selected Topics in Design and Statistics, Strube, 
--W----, 2:30P-3:50P, Somers Family / 215B, 20, 9, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), The Psychology of Academia, Roediger, 
-T-R---, 9:30A-10:50A, Somers Family / 216, 0, 24, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Quantitative Methods I, Cooper, 
--W----, 2:00P-4:50P, West Campus /, 10, 6, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Clinical Science: Intellectual and Achievement  Assessment, Stojanovic, 
M------, 1:00P-3:50P, Somers Family / 215A, 15, 6, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Clinical Science: Psychological Assessment, Lawton, 
-T-R---, 2:00P-3:20P, Somers Family / 215B, 20, 13, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Applied Bayesian Statistics for Psychologists, Jackson, 
M-W----, 1:00P-2:20P, Mallinckrodt / 303, 30, 29, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Applied Statistical Analysis with R, Cooper, 
-T-----, 3:00P-5:50P, Somers Family / 249, 0, 11, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Perception Thought and Action, Abrams, 
-T-----, 4:00P-4:50P, Somers Family / 216, 0, 16, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Graduate Research Seminar, Carpenter, 
--W----, 12:00P-12:50P, Somers Family / 215, 0, 3, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Graduate Research Seminar, Sommers, 
--W----, 4:00P-4:50P, Somers Family / 216, 0, 21, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Graduate Research Seminar, Dobbins, 
----F--, 1:00P-1:50P, Somers Family / 215, 0, 4, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Graduate Research Seminar, Hill, 
-T-----, 12:00P-12:50P, Somers Family / 216A, 30, 16, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Seminar in Research Ethics, Zacks, 
TBA, , TBA, 20, 10, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Practicum in Psychotherapy, Lawton, 
TBA, , TBA, 20, 3, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Practicum in Psychotherapy, Allen, 
TBA, , TBA, 20, 4, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Practicum in Psychotherapy, Carpenter, 
-T-R---, 2:30P-3:50P, Somers Family / 216B, 30, 29, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), The Science of Behavior, Zacks Carlson, 
TBA, , TBA, 0, 1, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Research in Psychology, Bugg, 
M-W----, 11:30A-12:50P, Somers Family / 216A, 15, 8, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), SEMINAR: THEORIES OF SOCIAL PSYCHOLOGY, Strube, 
M------, 4:00P-5:20P, Wilson / 214, 125, 43, 0, PSYCHOLOGICAL & BRAIN SCIENCES(L33), Recent Advances in Psychological Science Seminar Series, Bugg, 
-T-R---, 4:00P-5:20P, Seigle / 208, 18, 13, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), First-Year Seminar: Feminist and Queer Science and Technology Studies, Tamsin Kimoto, 
M-W----, 4:00P-5:20P, Seigle / 301, 15, 13, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Introduction to Queer Studies, Bujan, 
M------, 3:00P-5:50P, Lopata Hall / 201, 19, 12, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), First Year Seminar: Angels Prostitutes and Chicas Modernas: Women in Latin American History, Montano, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Wanzo, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Chandra, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Brown, 
TBA, , TBA, 0, 1, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Cislo, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Barounis, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Esparza, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Berg, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Sangrey, 
TBA, , (None) /, 0, 1, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Independent Study: Internships, Ake, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Wanzo, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Chandra, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Brown, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Berg, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Esparza, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Cislo, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Barounis, 
TBA, , TBA, 0, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Sangrey, 
TBA, , TBA, 0, 1, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Undergraduate Teaching Assistant, Windle, 
M-W----, 10:00A-11:20A, Mallinckrodt / 305, 19, 18, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Intellectual History of Sex and Gender: Text and Traditions, Ake, 
-T-R---, 11:30A-12:50P, Seigle / L006, 25, 21, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Gender in Society, Hou, 
M-W----, 1:00P-2:20P, Eads / 203, 15, 13, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Topics: Global Italy: Race Gender Migration and Citzenship, Dalla Torre, 
--W----, 4:00P-6:50P, AB Law Bldg / 404, 22, 19, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Law Gender and Justice, Tokarz, 
-T-R---, 2:30P-3:50P, Seigle / 109, 0, 14, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Community-Engaged Learning: Projects in Domestic Violence, Ake, 
---R---, 3:00P-5:50P, January Hall / 10, 15, 14, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Imperialism and Sexuality: India South Asia and the World: Writing-Intensive Seminar, Chandra, 
-T-----, 3:00P-5:50P, Seigle / 111, 20, 15, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Queer of Color Critique, Bailey, 
--W----, 2:30P-5:20P, Lewis Center / 1ST, 0, 11, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Sexual Health and the City: A StudioLab Course Course on the Politics of Reproduction, Parikh Lieberman, 
---R---, 3:00P-5:50P, Seigle / 111, 15, 3, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Intersectionality, Bailey Marlon, 
-T-----, 4:00P-5:20P, McMillan / 221, 12, 4, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Sex and Gender in Public, Wanzo, 
-T-----, 3:00P-5:50P, Seigle / 111, 20, 15, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Queer of Color Critique, Bailey, 
--W----, 2:30P-5:20P, Lewis Center / 1ST, 0, 11, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Sexual Health and the City: A StudioLab Course Course on the Politics of Reproduction, Parikh Lieberman, 
M------, 4:00P-6:20P, January Hall / 10A, 20, 10, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Seminar Lit. 19th C: Access Genre Market Inclusion: German and Austrian Women Writers (1860-1932), Tatlock, 
TBA, , (None) /, 10, 0, 0, WOMEN GENDER AND SEXUALITY STUDIES(L77), Master's Thesis, [TBA], 
M------, 7:00P-10:00P, McDonnell / 362, 0, 23, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Human Anatomy & Physiology I, Braude, 
M-W----, 4:45P-6:45P, Rebstock / 217, 0, 11, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Human Anatomy & Physiology I, Keadle, 
M--R---, 4:45P-6:45P, Rebstock / 217, 0, 1, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Human Anatomy & Physiology I, Keadle, 
--WT---, 4:45P-6:45P, Rebstock / 217, 0, 11, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Human Anatomy & Physiology I, Keadle, 
M------, 4:00P-6:50P, McDonnell / 312, 0, 9, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Human Anatomy & Physiology I (Lecture Only), Braude, 
M------, 6:30P-9:30P, Eads / 115, 0, 7, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Biology of Human Disease: Research Diagnosis Prevention Treatment, Kisseleva, 
-T-----, 6:30P-9:30P, Busch / 100, 80, 67, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Introduction to Biochemistry, Cruz, 
--W----, 6:00P-9:00P, McMillan / G052, 85, 83, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Introduction to Biochemistry, Cruz, 
--W----, 4:00P-6:50P, McDonnell / 312, 0, 8, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Advanced Physiology, Braude, 
---R---, 7:00P-10:00P, Busch / 202, 0, 10, 0, BIOLOGICAL & PHYSICAL SCIENCES FOR PBPM(L86), Cell Biology and Its Molecular Foundation, Lin, 
--W----M------, 11:30A-12:50P11:30A-12:50P, Wom Bldg / ST2   Seigle / 305, 15, 12, 0, DRAMA(L15), Ampersand: A Performative Perspective on Chinese Culture and Identity, Ma, 
M-W----, 10:00A-11:20A, Wom Bldg / ST1, 15, 12, 0, DRAMA(L15), Ampersand: Shakespeare's Globe: All the World's a Stage, Pileggi Sommers, 
M-W-F--, 1:00P-1:50P, Music Cls Bldg / 102, 25, 3, 0, DRAMA(L15), Race Realism and Representation from Madama Butterfly to Hamilton, Wangpaiboonkit, 
-T-R---, 11:30A-12:50P, Eads / 016, 50, 47, 0, DRAMA(L15), Introduction to Theater Production, Savoie, 
M-W----, 2:30P-3:50P, Mallinckrodt / 101, 12, 10, 0, DRAMA(L15), First-Year Seminar:  The Theatre as a Living Art, Matthews, 
--W-F--, 1:00P-2:20P, Wom Bldg / ST1, 10, 9, 0, DRAMA(L15), The American Musical Theater Songbook, Daniel-Decker, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Henry I. Schvey, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Jeffery Matthews, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Annamaria Pileggi, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, William Whitaker, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Andrea Urice, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Ron Himes, 
TBA, , TBA, 0, 4, 0, DRAMA(L15), Production Practicum, Dominique Green, 
TBA, , TBA, 0, 0, 0, DRAMA(L15), Production Practicum, Sean Savoie, 
TBA, , TBA, 0, 2, 0, DRAMA(L15), Production Practicum, Robert Morgan, 
-T-R---, 4:00P-5:20P, Seigle / 301, 15, 8, 0, DRAMA(L15), A History of African-American Theater, Himes, 
-T-R---, 4:00P-5:20P, Mallinckrodt / 303, 12, 7, 0, DRAMA(L15), Theater Space in Historical Practice, Camp, 
-T-R---, 1:00P-2:20P, Academy Bldg / 104, 12, 10, 0, DRAMA(L15), Costume Rendering and Design, Dominique Green, 
-T-R---, 4:00P-5:20P, Mallinckrodt / 302, 15, 12, 0, DRAMA(L15), Scenic Design, Robert Morgan, 
M-W-F--, 9:00A-10:50A, Wom Bldg / ST2, 12, 6, 0, DRAMA(L15), Fundamentals of Directing, Andrea Urice, 
-T-----, 2:30P-5:20P, Mallinckrodt / 326, 10, 8, 0, DRAMA(L15), Introduction to Playwriting, Birkenmeier, 
M-W----, 1:00P-2:20P, Seigle / 305, 15, 5, 0, DRAMA(L15), Asian and Asian Diaspora Theatre, Ma, 
M-W----, 11:30A-12:50P, Louderman / 461, 25, 24, 0, DRAMA(L15), Shakespeare:  The Godly and the Grotesque, Sommers, 
-T-R---, 10:00A-11:20A, Seigle / 204, 20, 17, 0, DRAMA(L15), History of Western Costume, Dominique Green, 
-T-R---, 9:30A-11:20A, Mallinckrodt / 101, 20, 16, 0, DRAMA(L15), Theater for Social Change, Annamaria Pileggi, 
-T-R---, 1:00P-2:20P, Mallinckrodt / 101, 12, 8, 0, DRAMA(L15), Advanced Stage Lighting, Sean Savoie, 
M-W-F--, 12:00P-1:50P, Mallinckrodt / 101, 12, 6, 0, DRAMA(L15), Acting Styles: Realism to Nonrealism, Annamaria Pileggi, 
-T-R---, 2:30P-3:50P, Seigle / 408, 12, 10, 0, DRAMA(L15), Film Stardom Performance and Fan Culture, Studlar, 
-T-----, 4:00P-6:50P, Brown / 100, 19, 10, 0, DRAMA(L15), Film Stardom Performance and Fan Culture, Studlar, 
M-W----, 11:30A-12:50P, Mallinckrodt / 326, 10, 1, 0, DRAMA(L15), Borders and Boundaries, Pena, 
-T-R---, 1:00P-2:20P, Cupples II / L011, 19, 14, 0, DRAMA(L15), Music and Performance: Pleasure and Politics in Popular Music, McGinley, 
--W----, 2:30P-5:20P, Mallinckrodt / 326, 10, 3, 0, DRAMA(L15), Advanced Playwriting, Birkenmeier, 
-T-R---, 9:30A-11:20A, Mallinckrodt / 101, 20, 16, 0, DRAMA(L15), Theater for Social Change, Annamaria Pileggi, 
M-W----, 10:00A-11:20A, Mallinckrodt / 326, 7, 5, 0, DRAMA(L15), Intro to Graduate Study in Drama, Julia Walker, 
M-W-F--, 12:00P-1:50P, Mallinckrodt / 101, 12, 6, 0, DRAMA(L15), Acting Styles:  Realism to Nonrealism, Annamaria Pileggi, 
-T-R---, 10:00A-11:20A, Mallinckrodt / 326, 10, 7, 0, DRAMA(L15), Methodologies of Global Dance Studies, Joanna Dee Das, 
M-W----, 11:30A-12:50P, Mallinckrodt / 326, 10, 8, 0, DRAMA(L15), Borders and Boundaries, Pena, 
--W----, 2:30P-5:20P, Mallinckrodt / 326, 10, 3, 0, DRAMA(L15), Advanced Playwriting, Birkenmeier, 
M------, 3:00P-4:50P, Seigle / 205, 15, 8, 0, GENERAL STUDIES(L43), Bearprints for Success, Gray, 
M------, 3:00P-4:50P, Duncker / 1, 15, 8, 0, GENERAL STUDIES(L43), Bearprints for Success, Selle, 
M------, 4:00P-5:50P, S40 Liggett / SEMRM, 15, 12, 0, GENERAL STUDIES(L43), Bearprints for Success, Sullivan, 
--W----, 3:00P-4:50P, Eads / 103, 15, 13, 0, GENERAL STUDIES(L43), Bearprints for Success, Keller, 
--W----, 5:00P-6:50P, S40 Dardick / SEMRM, 15, 12, 0, GENERAL STUDIES(L43), Bearprints for Success, Barefield, 
---R---, 4:30P-6:20P, S40 Liggett / SEMRM, 15, 8, 0, GENERAL STUDIES(L43), Bearprints for Success, Hung, 
---R---, 4:30P-6:20P, S40 Lien / SEMA, 15, 8, 0, GENERAL STUDIES(L43), Bearprints for Success, Fitzgibbon, 
----F--, 1:00P-2:50P, Simon / 021, 15, 6, 0, GENERAL STUDIES(L43), Bearprints for Success, Norton, 
----F--, 1:00P-2:50P, Simon / 022, 15, 5, 0, GENERAL STUDIES(L43), Bearprints for Success, Hynes, 
----F--, 3:00P-4:50P, Simon / 021, 15, 11, 0, GENERAL STUDIES(L43), Bearprints for Success, Medeiros da Rosa, 
-T-----, 4:30P-6:20P, S40 Liggett / SEMRM, 15, 3, 0, GENERAL STUDIES(L43), Bearprints for Success, Morrissey, 
-T-----, 4:30P-6:20P, S40 Lien / SEMA, 15, 2, 0, GENERAL STUDIES(L43), Bearprints for Success, Schipma, 
--W----, 5:00P-6:50P, S40 Liggett / SEMRM, 15, 0, 0, GENERAL STUDIES(L43), Bearprints for Success, Leonard, 
---R---, 4:30P-6:20P, S40 Liggett / SEMRM, 15, 0, 0, GENERAL STUDIES(L43), Bearprints for Success, Furlong, 
---R---, 4:30P-6:20P, S40 Lien / SEMA, 15, 0, 0, GENERAL STUDIES(L43), Bearprints for Success, Shinell, 
-T-----, 4:00P-5:20P, Eads / 204, 12, 10, 0, GENERAL STUDIES(L43), Howard Nemerov Program, Schuman, 
-T-----, 4:00P-5:20P, Cupples I / 111, 18, 9, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Race, Richards Cooper, 
----F--, 1:00P-2:20P, Busch / 14, 18, 5, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Race, Gomez, 
----F--, 1:00P-2:20P, Seigle / 210, 18, 10, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Gender, James Hilterbrand, 
-T-----, 4:00P-5:20P, Lopata Hall / 302, 18, 6, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Politics, Feely Kamimura, 
---R---, 4:00P-5:20P, Eads / 112, 18, 8, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Politics, Schipma Kelly, 
----F--, 1:00P-2:20P, Eads / 102, 18, 7, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Politics, Macias Glickman, 
----F--, 1:00P-2:20P, Sever / 300, 18, 6, 0, GENERAL STUDIES(L43), Topics in General Studies: Dialogue across Difference: Interfaith, Isabelle Brok, 
----F--, 3:00P-4:50P, Wrighton / 301, 0, 34, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Daschbach, 
----F--, 3:00P-4:50P, January Hall / 110, 0, 53, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Lin, 
----F--, 3:00P-3:50P, Louderman / 461, 0, 0, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Luo, 
----F--, 2:00P-3:50P, Wrighton / 301, 0, 7, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Kummer Mabbs, 
---R---, 5:00P-7:00P, Compton / 245, 0, 14, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Medeiros da Rosa McClure, 
----F--, 3:00P-4:50P, Eads / 116, 0, 29, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Mabbs, 
----F--, 4:00P-4:50P, Eads / 208, 0, 2, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Collings Kummer, 
----F--, 12:00P-1:50P, Cupples I / 215, 0, 3, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Medeiros da Rosa McClure, 
---R---, 5:00P-6:00P, TBA, 0, 0, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Collings, 
----F--, 3:00P-4:50P, Wrighton / 301, 0, 5, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Daschbach, 
----F--, 4:00P-4:50P, January Hall / 10, 0, 6, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Lin, 
----F--, 3:00P-3:50P, Louderman / 461, 0, 8, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Luo, 
----F--, 2:00P-3:50P, Wrighton / 301, 0, 2, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Daschbach Kummer Mabbs, 
---R---, 5:00P-7:00P, Compton / 245, 0, 3, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Medeiros da Rosa McClure, 
----F--, 3:00P-4:50P, Eads / 116, 0, 4, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Mabbs, 
----F--, 4:00P-4:50P, Eads / 209, 0, 0, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Collings, 
----F--, 12:00P-1:50P, Cupples I / 215, 10, 2, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Medeiros da Rosa McClure, 
---R---, 5:00P-6:00P, TBA, 0, 6, 0, GENERAL STUDIES(L43), Practical Apps of Academic Mentoring, Stallings Collings, 
-T-----, 4:00P-4:50P, Life Sciences / 118, 0, 18, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Collings Kummer Mabbs, 
-T-----, 4:00P-4:50P, Life Sciences / 118, 0, 12, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Collings Lin, 
----F--, 1:00P-1:50P, TBA, 0, 25, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Stallings Backes, 
---R---, 4:00P-4:50P, (None) /, 0, 6, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Collings McClure Medeiros da Rosa, 
--W----, 4:00P-4:50P, Mallinckrodt / 302, 0, 35, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Stallings Backes, 
--W----, 4:00P-4:50P, Eads / 207, 0, 25, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Collings Lin McClure, 
---R---, 4:00P-4:50P, TBA, 0, 22, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Stallings Backes, 
---R---, 5:00P-6:00P, TBA, 0, 2, 0, GENERAL STUDIES(L43), Seminar in Academic Mentoring, Stallings Backes, 
-T-----, 4:00P-5:20P, Eads / 204, 18, 3, 0, GENERAL STUDIES(L43), Howard Nemerov Seminar II, Schuman, 
M-W-F--, 9:00A-9:50A, Ridgley / 219, 15, 7, 0, JEWISH ISLAMIC AND MIDDLE EAST STUDIES(L75), First Year Modern Hebrew, Tamir, 
M-W-F--, 10:00A-10:50A, Ridgley / 219, 15, 10, 0, JEWISH ISLAMIC AND MIDDLE EAST STUDIES(L75), First Year Modern Hebrew, Tamir, 
M-W-F--, 11:00A-11:50A, Cupples I / 111, 15, 6, 0, JEWISH ISLAMIC AND MIDDLE EAST STUDIES(L75), First Year Modern Hebrew, Weinberg, 
MTWRF--, 10:00A-10:50A, Eads / 115, 15, 10, 0, JEWISH ISLAMIC AND MIDDLE EAST STUDIES(L75), Beginning Arabic I, Bennis, 
MTWRF--, 11:00A-11:50A, Eads / 209, 15, 7, 0, JEWISH ISLAMIC AND MIDDLE EAST STUDIES(L75), Beginning Arabic I, Bennis, 
